0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,10,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,22,0,0
0,1,0,0,0,0,1,0,2,6,0,0,0,1,0,7,0,1,0,10,2,0,0,0,1,6,8,0,0,0,0,0,2,0,0,2,1,0,1,5,0,2,6,0,0,5,0,1,1,0,0,0,0,0,0,0,0,3,0,10,5,0,0,0,0,0,1,1,0,0,1,11,1,0,12,0,0,0,1,0,0,0,1,0,0,7,1,1,0,20,0,1,1,9,2,0,1,1,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,9,1,0,0,1,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,1,0,1,0,1,0,2,0,0,2,1,0,0,3,0,0,0,3,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,2,0,1,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,3,1,0,3,0,1,0,4,1,0,0,2,0,0,4,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0
0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,12,0,0,0,23,0,1,0,0,0,14,5,0,0,0,0,0,4,6,0,0,4,0,0,12,0,1,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,9,0,18,11,1,1,2,0,0,3,3,0,0,0,37,5,0,23,0,4,1,10,0,0,0,12,0,0,16,7,0,0,37,0,3,1,18,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,48,2,0,0,0,0,1,0,0
0,0,0,0,0,2,3,0,0,2,0,0,0,2,0,4,0,1,0,4,1,1,0,0,0,1,4,0,0,1,0,0,1,1,0,1,4,0,1,2,0,1,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,7,3,0,0,4,0,0,1,1,0,0,0,6,2,0,2,1,1,0,6,1,1,0,3,0,0,3,1,0,0,13,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,7,5,1,0,1,1,0,0,0
0,1,2,2,0,0,1,0,0,6,0,0,0,1,0,18,0,1,0,15,1,1,0,0,1,6,10,0,0,0,0,0,2,3,0,3,6,0,1,11,0,5,6,1,0,5,0,1,0,1,1,2,0,0,0,0,0,7,0,15,8,0,0,0,0,0,4,1,0,0,3,13,9,0,17,6,6,1,11,0,0,0,8,0,0,16,3,4,0,26,0,2,1,13,4,0,1,1,0,19,0,0,1,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,27,3,4,0,2,0,2,0,0
0,1,6,1,1,1,0,2,6,0,0,0,0,6,1,42,0,15,0,37,5,1,0,0,1,18,24,0,0,0,0,0,10,0,0,8,5,0,30,26,0,22,5,0,0,5,0,3,0,1,1,6,0,0,0,0,0,20,0,47,12,2,1,1,0,0,4,4,0,0,2,57,13,0,62,1,5,3,20,1,2,0,10,0,0,38,7,4,1,85,0,7,3,40,5,0,3,8,0,3,0,0,0,0,0,0,0,0,1,2,6,0,0,1,0,0,0,0,0,3,0,0,0,0,1,8,0,0,73,4,6,0,3,3,3,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,2,1,6,0,0,0,0,1,5,0,2,0,5,3,1,0,0,2,1,4,0,0,0,0,0,2,1,0,4,1,0,3,2,0,2,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,6,5,0,0,2,0,0,2,11,0,0,1,4,4,0,6,1,1,1,6,1,1,0,1,0,0,4,2,2,0,9,0,2,1,4,1,0,0,7,0,1,0,0,0,1,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,8,3,2,0,1,2,2,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,8,3,1,0,0,1,8,2,0,0,0,1,0,1,0,0,1,0,0,0,6,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,3,1,2,0,0,0,2,1,0,0,0,4,1,0,6,0,0,0,3,0,0,0,4,0,1,7,2,1,0,11,0,0,1,3,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1
